code,name,count,population
0,전국,0,51141463
11,서울특별시,0,10143645
26,부산광역시,0,3527635
27,대구광역시,0,2501588
28,인천광역시,0,2879782
29,광주광역시,0,1472910
30,대전광역시,0,1532811
31,울산광역시,0,1156480
36,세종특별자치시,0,122153
36110,세종시,0,122153
41,경기도,0,12234630
41111,수원시장안구,0,300908
41113,수원시권선구,0,331773
41115,수원시팔달구,0,204805
41117,수원시영통구,0,310671
41131,성남시수정구,0,228167
41133,성남시중원구,0,256349
41135,성남시분당구,0,495018
41171,안양시만안구,0,250246
41173,안양시동안구,0,357631
41195,부천시원미구,0,444207
41197,부천시소사구,0,229959
41199,부천시오정구,0,189554
41271,안산시상록구,0,382571
41273,안산시단원구,0,331095
41281,고양시덕양구,0,410491
41285,고양시일산동구,0,283976
41287,고양시일산서구,0,296104
41461,용인시처인구,0,212904
41463,용인시기흥구,0,393172
41465,용인시수지구,0,335401
41660,여주군,0,109343
42,강원도,0,1542263
43,충청북도,0,1572732
43111,청주시상당구,0,246128
43113,청주시흥덕구,0,426776
44,충청남도,0,2047631
44131,천안시동남구,0,260575
44133,천안시서북구,0,330514
45,전라북도,0,1872965
45111,전주시완산구,0,363694
45113,전주시덕진구,0,286388
46,전라남도,0,1907172
47,경상북도,0,2699440
48,경상남도,0,3333820
48120,창원시,0,1083731
48121,의창구,0,255816
48123,성산구,0,242870
48125,마산합포구,0,183365
48127,마산회원구,0,219558
48129,진해구,0,182122
50,제주특별자치도,0,593806
0,연기군,6,0
47940,울릉군,7,10524
44250,계룡시,12,40957
41290,과천시,19,70578
47760,영양군,24,18297
42790,화천군,24,25079
28720,옹진군,25,20698
43745,증평군,29,34546
42800,양구군,33,23594
45740,장수군,37,23243
42190,태백시,43,48794
41430,의왕시,45,159772
46720,곡성군,47,31009
46730,구례군,47,27115
43800,단양군,47,31171
47920,봉화군,47,33894
26500,수영구,47,175098
26200,영도구,47,135816
26470,연제구,48,209290
42770,정선군,48,39985
42210,속초시,50,83109
45720,진안군,50,26703
41310,구리시,53,189680
45750,임실군,53,29739
26230,부산진구,54,389765
45730,무주군,55,25398
48860,산청군,56,35935
41800,연천군,57,45610
48840,남해군,59,47244
42830,양양군,59,27659
42810,인제군,60,32517
42170,동해시,61,95143
47750,청송군,61,26470
26260,동래구,62,276689
48720,의령군,63,29417
42780,철원군,63,47473
42750,영월군,65,40150
46890,완도군,65,53619
0,진구,66,0
42230,삼척시,67,73023
11200,성동구,67,299337
46900,진도군,68,32998
41410,군포시,69,286344
41250,동두천시,70,97557
41370,오산시,70,205460
46800,장흥군,70,43004
46860,함평군,70,35610
11260,중랑구,71,416798
11320,도봉구,72,358582
47930,울진군,72,51953
11110,종로구,72,160070
46910,신안군,73,44162
48870,함양군,73,40692
28710,강화군,75,66735
26410,금정구,75,253526
45770,순창군,77,30272
43730,옥천군,77,52763
46810,강진군,78,40079
11545,금천구,78,241020
46880,장성군,78,46292
47830,고령군,79,35198
41210,광명시,79,353100
47720,군위군,79,24172
26710,기장군,79,132507
43720,보은군,79,34318
28245,계양구,80,343806
47900,예천군,80,45573
41450,하남시,80,145096
11410,서대문구,81,314110
11305,강북구,82,338707
47770,영덕군,82,40142
48850,하동군,82,50177
11215,광진구,84,368927
11170,용산구,85,239740
42760,평창군,85,43666
44710,금산군,87,55441
48880,거창군,88,63177
11590,동작구,88,410815
43740,영동군,88,50539
11470,양천구,89,492528
44790,청양군,90,32155
48890,합천군,90,50290
26350,해운대구,90,425536
46790,화순군,90,67829
47210,영주시,92,112625
11380,은평구,92,503660
11350,노원구,94,590479
47820,청도군,94,43788
11290,성북구,95,476589
42730,횡성군,95,44937
26380,사하구,96,349110
43760,괴산군,100,38059
42720,홍천군,100,70638
47840,성주군,101,45067
41820,가평군,102,61017
28237,부평구,102,556985
47280,문경시,103,75664
44770,서천군,103,58441
43750,진천군,103,64606
43710,청원군,103,155002
46710,담양군,104,47365
28185,연수구,104,300305
48220,통영시,104,139719
47730,의성군,107,56064
46870,영광군,108,57617
11620,관악구,109,518028
11530,구로구,109,424964
45800,부안군,110,59164
48240,사천시,110,116851
43150,제천시,112,137204
11740,강동구,113,483379
11440,마포구,113,381856
30230,대덕구,116,204360
45790,고창군,117,60522
46780,보성군,119,46385
26530,사상구,120,246797
46770,고흥군,121,70631
46840,무안군,122,79367
11650,서초구,124,441763
41830,양평군,127,103620
0,세종시,128,0
0,여주시,128,0
44825,태안군,128,62416
48740,창녕군,129,63447
11230,동대문구,130,364273
11710,송파구,133,668415
48730,함안군,135,67667
30200,유성구,136,313968
48310,거제시,138,242077
44760,부여군,138,72547
41150,의정부시,140,430976
11680,강남구,141,563599
46110,목포시,141,240936
46230,광양시,142,151621
48270,밀양시,142,108342
44800,홍성군,142,89704
45190,남원시,147,86460
41630,양주시,149,199143
44180,보령시,151,104938
44810,예산군,152,85205
42150,강릉시,154,216806
46820,해남군,155,77684
28200,남동구,159,507021
44150,공주시,161,116369
45180,정읍시,161,118328
42820,고성군,163,30398
48820,고성군,163,56369
47850,칠곡군,163,121182
48330,양산시,165,279565
47230,영천시,166,100778
45210,김제시,168,91218
46830,영암군,171,59061
27710,달성군,172,184358
47150,김천시,173,135259
41170,안양시,173,607877
27260,수성구,174,461004
11560,영등포구,175,386471
43770,음성군,179,93505
41610,광주시,182,286699
27290,달서구,182,610358
45710,완주군,184,86978
41570,김포시,186,312305
42110,춘천시,189,274455
47170,안동시,192,168461
29200,광산구,194,392875
41550,안성시,195,182173
41500,이천시,195,205479
46170,나주시,199,87754
41650,포천시,200,156603
44210,서산시,201,165837
47250,상주시,205,103346
31710,울주군,207,208646
41190,부천시,209,863720
44230,논산시,213,125844
41480,파주시,224,401718
47290,경산시,228,248805
46150,순천시,232,275668
42130,원주시,232,324837
50130,서귀포시,235,155641
43130,충주시,235,208115
41390,시흥시,236,396765
45130,군산시,246,278319
48170,진주시,252,337071
44270,당진시,263,159615
11500,강서구,273,569070
26440,강서구,273,69873
41130,성남시,276,979534
45140,익산시,277,306539
47190,구미시,283,419428
41360,남양주시,283,618305
44200,아산시,285,287073
46130,여수시,287,291366
48250,김해시,293,522049
41270,안산시,299,713666
47110,포항시,312,519467
41110,수원시,334,1148157
41280,고양시,344,990571
41460,용인시,352,941477
50110,제주시,352,438165
45110,전주시,366,650082
44130,천안시,381,591089
41220,평택시,397,442034
47130,경주시,409,263283
41590,화성시,409,530251
11140,중구,433,130465
26110,중구,433,47345
27110,중구,433,76246
28110,중구,433,107774
30140,중구,433,264913
31110,중구,433,234607
43110,청주시,471,672904
26170,동구,492,96011
27140,동구,492,343802
28140,동구,492,75093
29110,동구,492,103016
30110,동구,492,250653
31170,동구,492,178468
26290,남구,500,291770
27200,남구,500,166062
28170,남구,500,411330
29155,남구,500,216254
31140,남구,500,349064
47111,남구,500,249709
0,창원시(통합),519,0
26320,북구,559,309719
27230,북구,559,444359
29170,북구,559,445489
31200,북구,559,185695
47113,북구,559,269758
26140,서구,607,118783
27170,서구,607,215399
28260,서구,607,490035
29140,서구,607,315276
30170,서구,607,498917
